time, x, y, heading, velocity
0, 0.05, 0, 0.00535898, 5
0.01, 0.0999993, 0.000267948, 0.010718, 5
0.02, 0.149996, 0.000803836, 0.016077, 5
0.03, 0.19999, 0.00160765, 0.0214359, 5
0.04, 0.249978, 0.00267936, 0.0267949, 5
0.05, 0.299961, 0.00401895, 0.0321539, 5
0.06, 0.349935, 0.00562637, 0.0375129, 5
0.07, 0.399899, 0.00750157, 0.0428719, 5
0.08, 0.449854, 0.00964451, 0.0482309, 5
0.09, 0.499795, 0.0120551, 0.0535898, 5
0.1, 0.549724, 0.0147333, 0.0589488, 5
0.11, 0.599637, 0.0176791, 0.0643078, 5
0.12, 0.649533, 0.0208922, 0.0696668, 5
0.13, 0.699412, 0.0243728, 0.0750258, 5
0.14, 0.749271, 0.0281205, 0.0803848, 5
0.15, 0.79911, 0.0321354, 0.0857437, 5
0.16, 0.848926, 0.0364174, 0.0911027, 5
0.17, 0.898719, 0.0409662, 0.0964617, 5
0.18, 0.948487, 0.0457818, 0.101821, 5
0.19, 0.998228, 0.0508641, 0.10718, 5
0.2, 1.04794, 0.0562128, 0.112539, 5
0.21, 1.09762, 0.0618279, 0.117898, 5
0.22, 1.14728, 0.0677091, 0.123257, 5
0.23, 1.1969, 0.0738563, 0.128616, 5
0.24, 1.24648, 0.0802694, 0.133975, 5
0.25, 1.29604, 0.0869481, 0.139334, 5
0.26, 1.34555, 0.0938923, 0.144693, 5
0.27, 1.39503, 0.101102, 0.150052, 5
0.28, 1.44447, 0.108576, 0.155411, 5
0.29, 1.49387, 0.116315, 0.16077, 5
0.3, 1.54322, 0.124319, 0.166128, 5
0.31, 1.59253, 0.132588, 0.171487, 5
0.32, 1.6418, 0.14112, 0.176846, 5
0.33, 1.69102, 0.149916, 0.182205, 5
0.34, 1.74019, 0.158976, 0.187564, 5
0.35, 1.78931, 0.1683, 0.192923, 5
0.36, 1.83839, 0.177886, 0.198282, 5
0.37, 1.88741, 0.187735, 0.203641, 5
0.38, 1.93637, 0.197847, 0.209, 5
0.39, 1.98529, 0.208221, 0.214359, 5
0.4, 2.03414, 0.218857, 0.219718, 5
0.41, 2.08294, 0.229755, 0.225077, 5
0.42, 2.13168, 0.240914, 0.230436, 5
0.43, 2.18036, 0.252334, 0.235795, 5
0.44, 2.22897, 0.264015, 0.241154, 5
0.45, 2.27753, 0.275956, 0.246513, 5
0.46, 2.32601, 0.288157, 0.251872, 5
0.47, 2.37444, 0.300618, 0.257231, 5
0.48, 2.42279, 0.313339, 0.26259, 5
0.49, 2.47108, 0.326318, 0.267949, 5
0.5, 2.51929, 0.339555, 0.273308, 5
0.51, 2.56744, 0.353051, 0.278667, 5
0.52, 2.61551, 0.366805, 0.284026, 5
0.53, 2.66351, 0.380816, 0.289385, 5
0.54, 2.71143, 0.395084, 0.294744, 5
0.55, 2.75927, 0.409609, 0.300103, 5
0.56, 2.80704, 0.42439, 0.305462, 5
0.57, 2.85472, 0.439427, 0.310821, 5
0.58, 2.90233, 0.454719, 0.31618, 5
0.59, 2.94985, 0.470266, 0.321539, 5
0.6, 2.99728, 0.486067, 0.326898, 5
0.61, 3.04464, 0.502122, 0.332257, 5
0.62, 3.0919, 0.518431, 0.337616, 5
0.63, 3.13908, 0.534993, 0.342975, 5
0.64, 3.18617, 0.551808, 0.348334, 5
0.65, 3.23316, 0.568874, 0.353693, 5
0.66, 3.28007, 0.586192, 0.359052, 5
0.67, 3.32688, 0.603762, 0.364411, 5
0.68, 3.3736, 0.621582, 0.36977, 5
0.69, 3.42022, 0.639652, 0.375129, 5
0.7, 3.46674, 0.657971, 0.380488, 5
0.71, 3.51317, 0.67654, 0.385847, 5
0.72, 3.55949, 0.695357, 0.391206, 5
0.73, 3.60571, 0.714422, 0.396565, 5
0.74, 3.65183, 0.733735, 0.401924, 5
0.75, 3.69785, 0.753295, 0.407283, 5
0.76, 3.74376, 0.7731, 0.412642, 5
0.77, 3.78956, 0.793152, 0.418001, 5
0.78, 3.83526, 0.813449, 0.42336, 5
0.79, 3.88084, 0.83399, 0.428719, 5
0.8, 3.92632, 0.854775, 0.434078, 5
0.81, 3.97168, 0.875804, 0.439437, 5
0.82, 4.01693, 0.897075, 0.444796, 5
0.83, 4.06206, 0.918589, 0.450155, 5
0.84, 4.10708, 0.940344, 0.455514, 5
0.85, 4.15198, 0.96234, 0.460873, 5
0.86, 4.19677, 0.984577, 0.466232, 5
0.87, 4.24143, 1.00705, 0.471591, 5
0.88, 4.28597, 1.02977, 0.47695, 5
0.89, 4.33039, 1.05272, 0.482309, 5
0.9, 4.37469, 1.07591, 0.487668, 5
0.91, 4.41886, 1.09934, 0.493027, 5
0.92, 4.46291, 1.12301, 0.498385, 5
0.93, 4.50682, 1.14691, 0.503744, 5
0.94, 4.55061, 1.17104, 0.509103, 5
0.95, 4.59427, 1.19541, 0.514462, 5
0.96, 4.6378, 1.22002, 0.519821, 5
0.97, 4.6812, 1.24485, 0.52518, 5
0.98, 4.72446, 1.26992, 0.530539, 5
0.99, 4.76758, 1.29522, 0.535898, 5
1, 4.81057, 1.32075, 0.541257, 5
1.01, 4.85343, 1.34651, 0.546616, 5
1.02, 4.89614, 1.3725, 0.551975, 5
1.03, 4.93872, 1.39872, 0.557334, 5
1.04, 4.98115, 1.42517, 0.562693, 5
1.05, 5.02344, 1.45184, 0.568052, 5
1.06, 5.06559, 1.47874, 0.573411, 5
1.07, 5.10759, 1.50586, 0.57877, 5
1.08, 5.14945, 1.53321, 0.584129, 5
1.09, 5.19116, 1.56079, 0.589488, 5
1.1, 5.23272, 1.58858, 0.594847, 5
1.11, 5.27413, 1.6166, 0.600206, 5
1.12, 5.31539, 1.64484, 0.605565, 5
1.13, 5.3565, 1.67331, 0.610924, 5
1.14, 5.39746, 1.70199, 0.616283, 5
1.15, 5.43826, 1.73089, 0.621642, 5
1.16, 5.4789, 1.76001, 0.627001, 5
1.17, 5.51939, 1.78934, 0.63236, 5
1.18, 5.55973, 1.81889, 0.637719, 5
1.19, 5.5999, 1.84866, 0.643078, 5
1.2, 5.63991, 1.87864, 0.648437, 5
1.21, 5.67976, 1.90884, 0.653796, 5
1.22, 5.71945, 1.93925, 0.659155, 5
1.23, 5.75898, 1.96987, 0.664514, 5
1.24, 5.79834, 2.00071, 0.669873, 5
1.25, 5.83753, 2.03175, 0.675232, 5
1.26, 5.87656, 2.06301, 0.680591, 5
1.27, 5.91542, 2.09447, 0.68595, 5
1.28, 5.95411, 2.12614, 0.691309, 5
1.29, 5.99263, 2.15802, 0.696668, 5
1.3, 6.03098, 2.1901, 0.702027, 5
1.31, 6.06916, 2.22239, 0.707386, 5
1.32, 6.10716, 2.25488, 0.712745, 5
1.33, 6.14499, 2.28758, 0.718104, 5
1.34, 6.18264, 2.32047, 0.723463, 5
1.35, 6.22012, 2.35357, 0.728822, 5
1.36, 6.25742, 2.38687, 0.734181, 5
1.37, 6.29454, 2.42037, 0.73954, 5
1.38, 6.33147, 2.45407, 0.744899, 5
1.39, 6.36823, 2.48796, 0.750258, 5
1.4, 6.40481, 2.52206, 0.755617, 5
1.41, 6.4412, 2.55634, 0.760976, 5
1.42, 6.47741, 2.59082, 0.766335, 5
1.43, 6.51343, 2.6255, 0.771694, 5
1.44, 6.54927, 2.66037, 0.777053, 5
1.45, 6.58492, 2.69543, 0.782412, 5
1.46, 6.62038, 2.73068, 0.787771, 5
1.47, 6.65565, 2.76611, 0.79313, 5
1.48, 6.69073, 2.80174, 0.798489, 5
1.49, 6.72562, 2.83756, 0.803848, 5
1.5, 6.76032, 2.87356, 0.809207, 5
1.51, 6.79482, 2.90975, 0.814566, 5
