time, x_ref, y_ref, heading_ref, v_ref, steering_ref
0, 0, 0, 1.1152, 5, -0
0.01, 0.0435, 0.0887753, 1.11514, 5, -0.00643424
0.02, 0.087, 0.177522, 1.11494, 5, -0.0128749
0.03, 0.1305, 0.26621, 1.11462, 5, -0.0193283
0.04, 0.174, 0.354812, 1.11417, 5, -0.0258009
0.05, 0.2175, 0.443299, 1.11359, 5, -0.0322991
0.06, 0.261, 0.531641, 1.11288, 5, -0.0388294
0.07, 0.3045, 0.61981, 1.11203, 5, -0.0453983
0.08, 0.348, 0.707778, 1.11106, 5, -0.0520123
0.09, 0.3915, 0.795515, 1.10995, 5, -0.0586781
0.1, 0.435, 0.882995, 1.10871, 5, -0.0654022
0.11, 0.4785, 0.970187, 1.10733, 5, -0.0721914
0.12, 0.522, 1.05706, 1.10582, 5, -0.0790526
0.13, 0.5655, 1.1436, 1.10416, 5, -0.0859924
0.14, 0.609, 1.22976, 1.10237, 5, -0.093018
0.15, 0.6525, 1.31553, 1.10043, 5, -0.100136
0.16, 0.696, 1.40087, 1.09835, 5, -0.107354
0.17, 0.7395, 1.48576, 1.09612, 5, -0.11468
0.18, 0.783, 1.57017, 1.09374, 5, -0.122119
0.19, 0.8265, 1.65407, 1.09121, 5, -0.12968
0.2, 0.87, 1.73744, 1.08852, 5, -0.137371
0.21, 0.9135, 1.82025, 1.08568, 5, -0.145198
0.22, 0.957, 1.90247, 1.08267, 5, -0.15317
0.23, 1.0005, 1.98409, 1.0795, 5, -0.161293
0.24, 1.044, 2.06507, 1.07616, 5, -0.169577
0.25, 1.0875, 2.14538, 1.07265, 5, -0.178028
0.26, 1.131, 2.22502, 1.06896, 5, -0.186656
0.27, 1.1745, 2.30394, 1.0651, 5, -0.195466
0.28, 1.218, 2.38212, 1.06104, 5, -0.204468
0.29, 1.2615, 2.45955, 1.0568, 5, -0.21367
0.3, 1.305, 2.5362, 1.05236, 5, -0.223078
0.31, 1.3485, 2.61205, 1.04772, 5, -0.232702
0.32, 1.392, 2.68707, 1.04288, 5, -0.242549
0.33, 1.4355, 2.76124, 1.03782, 5, -0.252625
0.34, 1.479, 2.83454, 1.03255, 5, -0.262939
0.35, 1.5225, 2.90695, 1.02706, 5, -0.273498
0.36, 1.566, 2.97845, 1.02133, 5, -0.284308
0.37, 1.6095, 3.04901, 1.01536, 5, -0.295375
0.38, 1.653, 3.11863, 1.00916, 5, -0.306706
0.39, 1.6965, 3.18727, 1.00269, 5, -0.318305
0.4, 1.74, 3.25492, 0.995972, 5, -0.330178
0.41, 1.7835, 3.32156, 0.988982, 5, -0.342329
0.42, 1.827, 3.38718, 0.981715, 5, -0.354759
0.43, 1.8705, 3.45175, 0.974162, 5, -0.367472
0.44, 1.914, 3.51527, 0.966314, 5, -0.380469
0.45, 1.9575, 3.5777, 0.95816, 5, -0.393749
0.46, 2.001, 3.63904, 0.949692, 5, -0.407311
0.47, 2.0445, 3.69928, 0.940899, 5, -0.421152
0.48, 2.088, 3.75839, 0.931771, 5, -0.435268
0.49, 2.1315, 3.81636, 0.922295, 5, -0.449652
0.5, 2.175, 3.87318, 0.912462, 5, -0.464295
0.51, 2.2185, 3.92884, 0.902259, 5, -0.479189
0.52, 2.262, 3.98332, 0.891675, 5, -0.49432
0.53, 2.3055, 4.03661, 0.880697, 5, -0.509673
0.54, 2.349, 4.08871, 0.869313, 5, -0.525233
0.55, 2.3925, 4.13959, 0.857511, 5, -0.540979
0.56, 2.436, 4.18925, 0.845279, 5, -0.55689
0.57, 2.4795, 4.23768, 0.832602, 5, -0.572941
0.58, 2.523, 4.28488, 0.819469, 5, -0.589105
0.59, 2.5665, 4.33082, 0.805868, 5, -0.605352
0.6, 2.61, 4.37551, 0.791784, 5, -0.621652
0.61, 2.6535, 4.41894, 0.777207, 5, -0.637969
0.62, 2.697, 4.4611, 0.762125, 5, -0.654266
0.63, 2.7405, 4.50198, 0.746525, 5, -0.670506
0.64, 2.784, 4.54158, 0.730398, 5, -0.686647
0.65, 2.8275, 4.5799, 0.713734, 5, -0.702646
0.66, 2.871, 4.61692, 0.696523, 5, -0.718461
0.67, 2.9145, 4.65266, 0.678757, 5, -0.734047
0.68, 2.958, 4.6871, 0.660431, 5, -0.749356
0.69, 3.0015, 4.72024, 0.64154, 5, -0.764345
0.7, 3.045, 4.75208, 0.622081, 5, -0.778964
0.71, 3.0885, 4.78262, 0.602052, 5, -0.79317
0.72, 3.132, 4.81186, 0.581455, 5, -0.806914
0.73, 3.1755, 4.8398, 0.560294, 5, -0.820153
0.74, 3.219, 4.86644, 0.538576, 5, -0.832842
0.75, 3.2625, 4.89179, 0.51631, 5, -0.844939
0.76, 3.306, 4.91583, 0.493509, 5, -0.856401
0.77, 3.3495, 4.93859, 0.470191, 5, -0.867191
0.78, 3.393, 4.96005, 0.446373, 5, -0.87727
0.79, 3.4365, 4.98022, 0.422081, 5, -0.886603
0.8, 3.48, 4.99912, 0.39734, 5, -0.895157
0.81, 3.5235, 5.01674, 0.372184, 5, -0.902902
0.82, 3.567, 5.03308, 0.346645, 5, -0.90981
0.83, 3.6105, 5.04817, 0.320762, 5, -0.915855
0.84, 3.654, 5.06199, 0.294578, 5, -0.921015
0.85, 3.6975, 5.07456, 0.268136, 5, -0.925269
0.86, 3.741, 5.0859, 0.241485, 5, -0.928599
0.87, 3.7845, 5.096, 0.214675, 5, -0.930991
0.88, 3.828, 5.10487, 0.187757, 5, -0.932433
0.89, 3.8715, 5.11253, 0.160785, 5, -0.932914
0.9, 3.915, 5.11898, 0.133813, 5, -0.932428
0.91, 3.9585, 5.12424, 0.106895, 5, -0.93097
0.92, 4.002, 5.12832, 0.0800871, 5, -0.928538
0.93, 4.0455, 5.13123, 0.0534415, 5, -0.925133
0.94, 4.089, 5.13298, 0.0270105, 5, -0.920758
